"GSM_ID","Sample_Name","Condition","GSE","Platform"
"GSM8658466","Patient 1 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658467","Patient 1 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658484","Patient 10 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658485","Patient 10 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658486","Patient 11 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658487","Patient 11 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658488","Patient 12 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658489","Patient 12 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658490","Patient 13 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658491","Patient 13 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658492","Patient 14 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658493","Patient 14 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658494","Patient 15 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658495","Patient 15 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658496","Patient 16 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658497","Patient 16 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658498","Patient 17 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658499","Patient 17 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658500","Patient 18 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658501","Patient 18 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658502","Patient 19 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658503","Patient 19 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658468","Patient 2 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658469","Patient 2 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658504","Patient 20 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658505","Patient 20 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658506","Patient 21 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658507","Patient 21 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658508","Patient 22 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658509","Patient 22 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658510","Patient 23 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658511","Patient 23 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658512","Patient 24 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658513","Patient 24 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658514","Patient 25 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658515","Patient 25 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658516","Patient 26 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658517","Patient 26 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658518","Patient 27 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658519","Patient 27 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658520","Patient 28 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658521","Patient 28 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658522","Patient 29 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658523","Patient 29 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658470","Patient 3 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658471","Patient 3 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658524","Patient 30 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658525","Patient 30 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658526","Patient 31 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658527","Patient 31 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658528","Patient 32 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658529","Patient 32 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658530","Patient 33 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658531","Patient 33 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658532","Patient 34 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658533","Patient 34 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658534","Patient 35 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658535","Patient 35 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658536","Patient 36 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658537","Patient 36 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658538","Patient 37 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658539","Patient 37 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658540","Patient 38 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658541","Patient 38 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658542","Patient 39 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658543","Patient 39 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658472","Patient 4 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658473","Patient 4 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658544","Patient 40 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658545","Patient 40 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658546","Patient 41 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658547","Patient 41 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658548","Patient 42 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658549","Patient 42 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658550","Patient 43 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658551","Patient 43 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658552","Patient 44 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658553","Patient 44 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658554","Patient 45 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658555","Patient 45 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658556","Patient 46 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658557","Patient 46 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658558","Patient 47 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658559","Patient 47 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658560","Patient 48 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658561","Patient 48 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658562","Patient 49 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658563","Patient 49 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658474","Patient 5 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658475","Patient 5 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658564","Patient 50 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658565","Patient 50 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658566","Patient 51 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658567","Patient 51 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658568","Patient 52 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658569","Patient 52 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658570","Patient 53 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658571","Patient 53 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658572","Patient 54 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658573","Patient 54 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658574","Patient 55 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658575","Patient 55 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658576","Patient 56 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658577","Patient 56 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658578","Patient 57 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658579","Patient 57 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658580","Patient 58 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658581","Patient 58 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658582","Patient 59 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658583","Patient 59 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658476","Patient 6 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658477","Patient 6 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658584","Patient 60 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658585","Patient 60 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658586","Patient 61 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658587","Patient 61 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658588","Patient 62 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658589","Patient 62 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658590","Patient 63 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658591","Patient 63 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658478","Patient 7 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658479","Patient 7 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658480","Patient 8 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658481","Patient 8 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658482","Patient 9 Normal","Control","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
"GSM8658483","Patient 9 Tumor","Tumor","GSE283245","Illumina NovaSeq 6000 (GPL24676)"
